2019-06-03 21-26-36-0932: KSJAPI::Api Version     = 8.0.0.6 
2019-06-03 21-26-36-0932: KSJAPI::Device Type     = 102 
2019-06-03 21-26-36-0932: KSJAPI::Serial          = 255  
2019-06-03 21-26-36-0932: KSJAPI::FirmwareVersion = 20.25  
2019-06-03 21-26-36-0932: KSJAPI:: __FUNCTION__ = AddCamera 
2019-06-03 21-26-36-0932: KSJAPI::szDllName = libksjcam_102.so  dlopen success
2019-06-03 21-26-36-0933: KSJAPI::RdFpga Address = 0128(0x0080), Value = 57855(0xe1ff), Return = 0
2019-06-03 21-26-36-0933: KSJAPI::RdFpga Address = 0241(0x00f1), Value = 05381(0x1505), Return = 0
2019-06-03 21-26-36-0933: KSJAPI::RdFpga Address = 0128(0x0080), Value = 57855(0xe1ff), Return = 0
2019-06-03 21-26-36-0934: KSJAPI::RdFpga Address = 0241(0x00f1), Value = 05381(0x1505), Return = 0
2019-06-03 21-26-36-0934: KSJAPI::GetWorkingMode WorkingMode = 00000(0x0000), Return = 0
2019-06-03 21-26-36-0934: KSJAPI::RdSensor Address = 0011(0x000b), Value = 00010(0x000a), Return = 0
2019-06-03 21-26-36-0934: KSJAPI::RdSensor Address = 0012(0x000c), Value = 00000(0x0000), Return = 0
2019-06-03 21-26-36-0935: KSJAPI::RdSensor Address = 0013(0x000d), Value = 00000(0x0000), Return = 0
2019-06-03 21-26-36-0935: KSJAPI::RdSensor Address = 0014(0x000e), Value = 00000(0x0000), Return = 0
2019-06-03 21-26-36-0935: KSJAPI::RdSensor Address = 0015(0x000f), Value = 00000(0x0000), Return = 0
2019-06-03 21-26-36-0936: KSJAPI::RdSensor Address = 0016(0x0010), Value = 00000(0x0000), Return = 0
2019-06-03 21-26-36-0936: KSJAPI::RdSensor Address = 0009(0x0009), Value = 00000(0x0000), Return = 0
2019-06-03 21-26-36-0936: KSJAPI::RdSensor Address = 0010(0x000a), Value = 00002(0x0002), Return = 0
2019-06-03 21-26-36-0937: KSJAPI::RdSensor Address = 0017(0x0011), Value = 00000(0x0000), Return = 0
2019-06-03 21-26-36-0937: KSJAPI::RdSensor Address = 0026(0x001a), Value = 00000(0x0000), Return = 0
2019-06-03 21-26-36-0937: KSJAPI::RdSensor Address = 0069(0x0045), Value = 00000(0x0000), Return = 0
2019-06-03 21-26-36-0938: KSJAPI::RdSensor Address = 0004(0x0004), Value = 00000(0x0000), Return = 0
2019-06-03 21-26-36-0938: KSJAPI::RdSensor Address = 0005(0x0005), Value = 00003(0x0003), Return = 0
2019-06-03 21-26-36-0938: KSJAPI::RdSensor Address = 0006(0x0006), Value = 00016(0x0010), Return = 0
2019-06-03 21-26-36-0939: KSJAPI::RdSensor Address = 0007(0x0007), Value = 00000(0x0000), Return = 0
2019-06-03 21-26-36-0939: KSJAPI::RdFpga Address = 0128(0x0080), Value = 57855(0xe1ff), Return = 0
2019-06-03 21-26-36-0940: KSJAPI::RdFpga Address = 0241(0x00f1), Value = 05381(0x1505), Return = 0
2019-06-03 21-26-36-0940: KSJAPI::RdFpga Address = 0128(0x0080), Value = 57855(0xe1ff), Return = 0
2019-06-03 21-26-36-0940: KSJAPI::RdFpga Address = 0241(0x00f1), Value = 05381(0x1505), Return = 0
2019-06-03 21-26-36-0941: KSJAPI::GetWorkingMode WorkingMode = 00000(0x0000), Return = 0
2019-06-03 21-26-36-0941: KSJAPI::RdFpga Address = 0131(0x0083), Value = 00000(0x0000), Return = 0
2019-06-03 21-26-36-0941: KSJAPI::RdSensor Address = 0011(0x000b), Value = 00010(0x000a), Return = 0
2019-06-03 21-26-36-0942: KSJAPI::RdSensor Address = 0012(0x000c), Value = 00000(0x0000), Return = 0
2019-06-03 21-26-36-0942: KSJAPI::RdSensor Address = 0013(0x000d), Value = 00000(0x0000), Return = 0
2019-06-03 21-26-36-0942: KSJAPI::RdSensor Address = 0014(0x000e), Value = 00000(0x0000), Return = 0
2019-06-03 21-26-36-0943: KSJAPI::RdSensor Address = 0015(0x000f), Value = 00000(0x0000), Return = 0
2019-06-03 21-26-36-0943: KSJAPI::RdSensor Address = 0016(0x0010), Value = 00000(0x0000), Return = 0
2019-06-03 21-26-36-0943: KSJAPI::RdSensor Address = 0009(0x0009), Value = 00000(0x0000), Return = 0
2019-06-03 21-26-36-0943: KSJAPI::RdSensor Address = 0010(0x000a), Value = 00002(0x0002), Return = 0
2019-06-03 21-26-36-0944: KSJAPI::RdSensor Address = 0017(0x0011), Value = 00000(0x0000), Return = 0
2019-06-03 21-26-36-0944: KSJAPI::RdSensor Address = 0026(0x001a), Value = 00000(0x0000), Return = 0
2019-06-03 21-26-36-0944: KSJAPI::RdSensor Address = 0069(0x0045), Value = 00000(0x0000), Return = 0
2019-06-03 21-26-36-0945: KSJAPI::RdSensor Address = 0004(0x0004), Value = 00000(0x0000), Return = 0
2019-06-03 21-26-36-0945: KSJAPI::RdSensor Address = 0005(0x0005), Value = 00003(0x0003), Return = 0
2019-06-03 21-26-36-0945: KSJAPI::RdSensor Address = 0006(0x0006), Value = 00016(0x0010), Return = 0
2019-06-03 21-26-36-0946: KSJAPI::RdSensor Address = 0007(0x0007), Value = 00000(0x0000), Return = 0
